,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,5426,Solana,SOL,solana,990,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,541159088.6575476,609042457.4892582,True,,6,525236893.3,110116085078.0788,,2025-09-05T13:37:00.000Z,209.65032442072513,6825834984.534142,30.9857,0.93521582,0.8125861,-0.87609881,27.84436092,38.34218099,37.69952507,113454178500.27881,2.9147,127685948798.62,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:39:27.938774
6,3408,USDC,USDC,usd-coin,31358,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'xlayer-ecosystem']",,72560497085.12363,72560497085.12363,False,,7,60901219650.23,60889509142.75558,,2025-09-05T13:38:00.000Z,0.9998077130878219,14969629447.584763,16.7724,-0.00742846,-0.02554357,0.0018807,0.00169943,-0.01159309,-0.00802997,72546544651.19302,1.8638,72546544651.19,,2025-09-05T13:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-09-05 09:39:27.938774
7,74,Dogecoin,DOGE,dogecoin,1290,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150814946383.7052,150814946383.7052,True,,8,,,,2025-09-05T13:37:00.000Z,0.22005855980759823,1942729828.545131,11.9717,0.66210953,1.59844958,1.39790867,9.94494953,29.74380959,16.95208828,33188119898.65831,0.8526,33188119898.66,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:39:27.938774
8,1958,TRON,TRX,tron,1225,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94660864492.49411,94660868122.9147,True,,9,94667886298.43,32062298862.106693,,2025-09-05T13:38:00.000Z,0.3386818921997884,949930570.3877131,31.6395,0.23113942,-0.01415041,-0.28542026,1.35839188,18.01114047,21.53250029,32059920703.585667,0.8236,32059921933.14,,2025-09-05T13:38:00.000Z,,,,,,2025-09-05 09:39:27.938774
9,2010,Cardano,ADA,cardano,1576,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35740930890.560295,44994598363.527115,False,,10,37997904336.0,32068659843.966133,,2025-09-05T13:38:00.000Z,0.8439586446767177,1095055048.2908652,27.9005,-0.01724521,3.25731864,1.06917354,16.33089268,44.98080065,26.04925867,30163867593.881496,0.7749,37978139010.45,,2025-09-05T13:38:00.000Z,,,,,,2025-09-05 09:39:27.938774
10,32196,Hyperliquid,HYPE,hyperliquid,143,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing']",1000000000.0,333928180.0,999993930.0,False,,11,333931719.0,15884881887.686045,,2025-09-05T13:38:00.000Z,47.56925138844341,233202465.10346776,10.2988,1.70965496,4.00938586,5.39785859,25.86155042,20.13818333,38.459795,15884713540.105381,0.4081,47569251388.44,,2025-09-05T13:38:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-09-05 09:39:27.938774
11,1975,Chainlink,LINK,chainlink,2081,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'interoperability', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets-protocols', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'robotics']",1000000000.0,678099970.4527867,1000000000.0,False,,12,,,,2025-09-05T13:38:00.000Z,23.053347931059545,1255686378.6540487,58.975,0.21364071,-1.00254724,-1.88827125,40.93886767,69.9937933,64.17404464,15632474550.889288,0.4016,23053347931.06,,2025-09-05T13:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-09-05 09:39:27.938774
12,29470,Ethena USDe,USDe,ethena-usde,205,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'xlayer-ecosystem']",,12630478909.146597,12630478909.146597,True,,13,,,,2025-09-05T13:38:00.000Z,1.0011181415814552,205128759.44322193,11.1737,0.03861058,0.00894971,0.07252971,0.04074369,0.11642035,-0.01949544,12644601572.808607,0.3248,12644601572.81,,2025-09-05T13:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-09-05 09:39:27.938774
13,20947,Sui,SUI,sui,765,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3568833706.3227763,10000000000.0,False,,14,3568833706.32,12292621799.23818,,2025-09-05T13:38:00.000Z,3.44443670139893,895916544.6454929,26.3982,0.80497804,4.08453611,3.11576342,1.12860186,19.15316261,4.38152112,12292621799.247742,0.3158,34444367013.99,,2025-09-05T13:38:00.000Z,,,,,,2025-09-05 09:39:27.938774
14,1831,Bitcoin Cash,BCH,bitcoin-cash,1058,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19921290.625,19921290.625,False,,15,,,,2025-09-05T13:37:00.000Z,611.7123991770288,683401001.4939483,17.5638,0.50610428,3.83222562,14.17828609,9.31323512,23.41449751,50.30102636,12186100482.921602,0.3131,12845960382.72,,2025-09-05T13:37:00.000Z,,,,,,2025-09-05 09:39:27.938774
